"ID","PMNNO","ACCNO","GENERIC NAME","FL"
246,"P000826",235199,"Polyacrylate, partially neutralized (PROVISIONAL)","P; XU"
247,"P000829",264212,"Hindered amine light stabilizer (PROVISIONAL)","P; XU"
248,"P000831",165550,"Polyether modified dimethylpolysiloxane (PROVISIONAL)","P; XU"
249,"P000832",153696,"Polyether modified polydimethylsiloxane (PROVISIONAL)","P; XU"
250,"P000833",161296,"Polyether modified polysiloxane, acrylated (PROVISIONAL)","P; XU"
251,"P000835",177050,"Substituted picolinate (PROVISIONAL)","P"
252,"P000836",155556,"Modified copolymer of acrylic esters and styrene (PROVISIONAL)","P; XU"
253,"P000838",172793,"Substituted alkyl sulfonamide","P; S"
254,"P000846",157121,"Polyester acrylate (PROVISIONAL)","P; XU"
255,"P000851",132877,"Trisulfonated(copper phthalocyanine) salt of bis-arylguanidine (PROVISIONAL)","P"
256,"P000853",140886,"Arylazonaphthalene sulfonate salt of bis-arylguanidine (PROVISIONAL)","P"
257,"P000857",263311,"Polyester resin (PROVISIONAL)","P; XU"
258,"P000860",162664,"Polyalkylsiloxane-modified polyalkylene resin (PROVISIONAL)","P; XU"
259,"P000863",137792,"Carboxylic acid, polymer with 1,2-ethanediol, 2,5-furandione and alicyclic compound (PROVISIONAL)","P; XU"
260,"P000867",177254,"Dimethyl,methylalkyl,methylaryl siloxane (PROVISIONAL)","P; XU"
261,"P000868",169325,"Pyrazolotriazole derivative (PROVISIONAL)","P"
262,"P000869",137098,"Polyurethane (PROVISIONAL)","P; XU"
263,"P000870",253011,"Acrylate terpolymer (PROVISIONAL)","P; XU"
264,"P000871",170695,"Reaction product of halogenated arylammonium salt, alkylaluminum and substituted carbomonocyclic metal compound (PROVISIONAL)","P"
265,"P000872",159707,"Fluoroelastomer (PROVISIONAL)","P; XU"
266,"P000873",241066,"Urethane acrylate (PROVISIONAL)","P; XU"
267,"P000874",238927,"Urethane acrylate (PROVISIONAL)","P; XU"
268,"P000884",139561,"Polyester polyether isocyanate polymer (PROVISIONAL)","P; XU"
269,"P000886",142815,"Polyester polyether isocyanate polymer (PROVISIONAL)","P; XU"
270,"P000887",246641,"Polyester polyether isocyanate polymer (PROVISIONAL)","P; XU"
271,"P000890",146828,"Cyclohexane, 1,1'-methylenebis[4-isocyanato-, polymer with 2-propenoic acid, 2-hydroxyethyl ester, 2-propenoic acid, 2-methyl-, monoester with 1,2-propanediol, methyloxirane and alkanol (PROVISIONAL)","P; XU"
272,"P000898",248829,"Amine salt (PROVISIONAL)","P"
273,"P000899",249004,"Urea, alkoxy silane (PROVISIONAL)","P"
274,"P000900",269842,"Polyalkene, sulfonated (PROVISIONAL)","P; XU"
275,"P000901",266218,"Polyalkylene, sulfonate, salts (PROVISIONAL)","E; P"
276,"P000902",276972,"Epoxy polyamine adduct (PROVISIONAL)","P; XU"
277,"P000904",261768,"Isocyanate functional acrylic-polyester-polyether-urethane polymers(PROVISIONAL)","P; XU"
278,"P000907",264121,"Hydroxy functional acrylic polymer (PROVISIONAL)","P; XU"
279,"P000911",256452,"Perfluorinated organic peroxide (PROVISIONAL)","P"
280,"P000913",131001,"Polyoxyalkylene benzothiazoylazophenyl alkylene ester (PROVISIONAL)","P"
281,"P000914",275866,"Titanium phosphinate complex (PROVISIONAL)","P"
282,"P000916",265919,"Toluene diisocyanate terminated polyether polyol (PROVISIONAL)","P; XU"
283,"P000918",171972,"Bisphenoxypolyalkylideneglycol (PROVISIONAL)","P; XU"
284,"P000920",158102,"Methacrylate copolymer salt (PROVISIONAL)","P; XU"
285,"P000921",171154,"Silane treated silica (PROVISIONAL)","P"
286,"P000923",230785,"Polyurea-polyurethane dispersion (PROVISIONAL)","P; XU"
287,"P000936",237651,"Phenolic modified polymer (PROVISIONAL)","P; XU"
288,"P000937",173898,"Poly[oxy(methyl-1,2-ethanediyl)],.alpha.-hydro-.omega.-hydroxy-,polymer with 1,1'-methylenebis[4-isocyanatocyclohexane], and an aliphatic alcohol (PROVISIONAL)","P; XU"
289,"P000940",172293,"Polyamide resin (PROVISIONAL)","P"
290,"P000940",186766,"Polyamide resin (PROVISIONAL)","P"
291,"P000941",147207,"Aliphatic urethane (PROVISIONAL)","P"
292,"P000942",148506,"Alkylated naphthylamine (PROVISIONAL)","P"
293,"P000944",147116,"Aqueous polyurethane (PROVISIONAL)","P; XU"
